index,Pattern,Board ID,Sensor,Status,Time to Failure (ms),Current,Location,Date,Solution,Voltage,Ph,Tags,CV_Baseline ,CF_Baseline
449,7,03_07_0071,U1,Failed,94593,03_07_0071_U1_20250414_I.csv,CREOL-A112,4/14/2025,Adipic Acid - 0.712mM,5,4.18,,03_07_0071_U1_20231121_CV_0.csv,03_07_0071_U1_20231121_CF_0.csv
452,7,03_07_0071,U4,Failed,63586,03_07_0071_U4_20250414_I.csv,CREOL-A112,4/14/2025,Adipic Acid - 0.712mM,5,4.18,,03_07_0071_U4_20231121_CV_0.csv,03_07_0071_U4_20231121_CF_0.csv
465,7,03_07_0091,U1,Failed,100286,03_07_0091_U1_20250506_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.21,,03_07_0091_U1_20231121_CV_0.csv,03_07_0091_U1_20231121_CF_0.csv
468,7,03_07_0091,U4,Failed,87743,03_07_0091_U4_20250506_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.21,,03_07_0091_U4_20231121_CV_0.csv,03_07_0091_U4_20231121_CF_0.csv
481,7,03_07_0111,U1,Failed,73593,03_07_0111_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.35,,03_07_0111_U1_20231121_CV_0.csv,03_07_0111_U1_20231121_CF_0.csv
484,7,03_07_0111,U4,Failed,97458,03_07_0111_U4_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.35,,03_07_0111_U4_20231121_CV_0.csv,03_07_0111_U4_20231121_CF_0.csv
497,7,03_07_0141,U1,Failed,103739,03_07_0141_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.17,,03_07_0141_U1_20231121_CV_0.csv,03_07_0141_U1_20231121_CF_0.csv
500,7,03_07_0141,U4,Failed,83587,03_07_0141_U4_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.17,,03_07_0141_U4_20231121_CV_0.csv,03_07_0141_U4_20231121_CF_0.csv
505,7,03_07_0151,U1,Failed,392784,03_07_0151_U1_20250304_I.csv,CREOL-A112,3/4/2025,Succinic 0.388mM,5,3.94,,03_07_0151_U1_20231121_CV_0.csv,03_07_0151_U1_20231121_CF_0.csv
508,7,03_07_0151,U4,Failed,88991,03_07_0151_U4_20250304_I.csv,CREOL-A112,3/4/2025,Succinic 0.388mM,5,3.94,,03_07_0151_U4_20231121_CV_0.csv,03_07_0151_U4_20231121_CF_0.csv
513,7,03_07_0161,U1,Failed,200602,03_07_0161_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.4,,03_07_0161_U1_20231121_CV_0.csv,03_07_0161_U1_20231121_CF_0.csv
521,7,03_07_0171,U1,Failed,18089,03_07_0171_U1_20250304_I.csv,CREOL-A112,3/4/2025,Succinic 0.388mM,5,3.79,,03_07_0171_U1_20231121_CV_0.csv,03_07_0171_U1_20231121_CF_0.csv
524,7,03_07_0171,U4,Failed,72782,03_07_0171_U4_20250304_I.csv,CREOL-A112,3/4/2025,Succinic 0.388mM,5,3.79,,03_07_0171_U4_20231121_CV_0.csv,03_07_0171_U4_20231121_CF_0.csv
557,7,03_07_0216,U1,Failed,49931,03_07_0216_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.18,,03_07_0216_U1_20231121_CV_0.csv,03_07_0216_U1_20231121_CF_0.csv
560,7,03_07_0216,U4,Failed,74440,03_07_0216_U4_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.18,,03_07_0216_U4_20231121_CV_0.csv,03_07_0216_U4_20231121_CF_0.csv
637,10,03_10_0066,U1,Failed,73291,03_10_0066_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.06,,03_10_0066_U1_20240416_CV_0.csv,03_10_0066_U1_20240416_CF_0.csv
640,10,03_10_0066,U4,Failed,412238,03_10_0066_U4_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.06,,03_10_0066_U4_20240416_CV_0.csv,03_10_0066_U4_20240416_CF_0.csv
653,10,03_10_0086,U1,Failed,113339,03_10_0086_U1_20250418_i.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.1,,03_10_0086_U1_20240416_CV_0.csv,03_10_0086_U1_20240416_CF_0.csv
684,10,03_10_0131,U4,Failed,147582,03_10_0131_U4_20250418_I.csv,R1-379,5/6/2025,Adipic Acid - 0.388mM,5,4.3,,03_10_0131_U4_20231121_CV_0.csv,03_10_0131_U4_20231121_CF_0.csv
